YEAR;QUART;CALMONTHIC;CALMONTHI;CALMONTH;CALMONTHS;START_DATE_IDX;END_DATE_IDX;ISEOM;ISEOQ;ISEOY;DAYSINMONTH;START_DATE;END_DATE;USER;LOCATION;ESTAT;HC;HC_SOM;HC_EOM;DAYSWORKED;FTE;FTE_SOM;FTE_EOM;FTEWORKED;TENURE;TENURE_SOM;TENURE_EOM;AGE;AGE_SOM;AGE_EOM;HC_EOMS;HIRE;TERM;MOVE_IN;MOVE_OUT;EVRS;GNDR;X
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2021-01-23;2020-12-23;"ASANTA";"Chicago";"A";1.0;0.0;0.0;0;1.0;0.0;0.0;0;0;0;0;29;29;29;0;1;0;0;0;HIR;F;stopAfteve@2020-05-02 LC a
2020;2020_Q4;252;202012;202012;202012;44188;44196;1.0;1.0;1.0;31;2020-12-23;2020-12-31;"ASANTA";"Chicago";"A";1.0;0.0;1.0;8;1.0;0.0;1.0;8;0;0;0;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2021-01-01;2021-01-01;"ASANTA";"Chicago";"A";1.0;1.0;0.0;0;1.0;1.0;0.0;0;0;0;0;29;29;29;0;0;1;0;0;TER;F;Startofmonth
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2021-01-01;2021-01-02;"ASANTA";"Chicago";"A";1.0;0.0;0.0;2;1.0;0.0;0.0;2;0;0;0;29;29;29;0;0;0;0;0;;F;stEOM
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2021-01-03;2021-01-31;"ASANTA";"Chicago";"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;29;29;29;1;0;0;0;0;;F;stom (old)
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2021-01-03;2021-02-01;"ASANTA";"Chicago";"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;29;29;29;1;0;0;0;0;;F;stop STOM
2020;2020_Q2;244;202004;202004;202004;43926;43925;0.0;0.0;0.0;30;2020-04-05;2020-04-04;"EASTBU";"Chicago";"A";1.0;0.0;0.0;0;1.0;0.0;0.0;0;0;0;0;29;29;29;0.0;1.0;0.0;0.0;0.0;HI1;M;StartOfE
2020;2020_Q2;244;202004;202004;202004;43925;43934;0.0;0.0;0.0;30;2020-04-04;2020-04-13;"EASTBU";"Chicago";"A";1.0;0.0;0.0;10;1.0;0.0;0.0;10;0;0;0;29;29;29;1.0;0.0;1.0;0.0;0.0;TE1;M;stEOM
2020;2020_Q1;241;202001;202001;202001;43831;43831;0.0;0.0;0.0;31;2020-01-01;2020-01-01;"TWALKER";"NewYork";"A";1.0;0.0;1.0;31;1.0;0.0;1.0;31.0;0;0;0;29;29;29;0.0;1.0;0.0;0.0;0.0;"HI1";M;StartOfE
2020;2020_Q1;242;202002;202002;202002;43862;43866;0.0;0.0;0.0;29;2020-02-01;2020-02-05;"TWALKER";"NewYork";"A";1.0;1.0;0.0;5;1.0;1.0;0.0;5.0;0;0;0;29;29;29;0.0;0.0;0.0;0.0;1.0;PRO;M;move_out
