# This is A1, it is every close to P00001, but the switch from CHICAGO to NEWYORK on 2020-05-01 is exactly on the month boundary -> no "natural stop record"
# it also adds  brief inter-month jump during Feb 2021   Feb 10th - Feb 15th 2021 @LA
YEAR;QUART;CALMONTHIC;CALMONTHI;CALMONTH;CALMONTHS;START_DATE_IDX;END_DATE_IDX;ISEOM;ISEOQ;ISEOY;DAYSINMONTH;START_DATE;END_DATE;USER;LOCATION;ESTAT;HC;HC_SOM;HC_EOM;DAYSWORKED;FTE;FTE_SOM;FTE_EOM;FTEWORKED;TENURE;TENURE_SOM;TENURE_EOM;AGE;AGE_SOM;AGE_EOM;HC_EOMS;HIRE;TERM;MOVE_IN;MOVE_OUT;EVRS;GNDR;X
2020;2020_Q1;243;202003;202003;202003;43895;43921;1.0;1.0;0.0;31;2020-03-05;2020-03-31;"A1";"Chicago"             ;"A";1.0;0.0;1.0;27;1.0;0.0;1.0;27;0;0;0;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q2;244;202004;202004;202004;43922;43951;1.0;0.0;0.0;30;2020-04-01;2020-04-30;"A1";"Chicago"             ;"A";1.0;1.0;1.0;30;1.0;1.0;1.0;30;1;0;1;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q2;245;202005;202005;202005;43954;43953;0.0;0.0;0.0;31;2020-05-02;2020-05-01;"A1";"Chicago"            ;"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stopAfteve@2020-05-02 LC
2020;2020_Q2;245;202005;202005;202005;43953;43982;1.0;0.0;0.0;31;2020-05-01;2020-05-31;"A1";"NewYork"            ;"A";1.0;1.0;1.0;31;0.5;1.0;0.5;15,5;2;1;2;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q2;246;202006;202006;202006;43983;44012;1.0;1.0;0.0;30;2020-06-01;2020-06-30;"A1";"NewYork"            ;"A";1.0;1.0;1.0;30;0.5;0.5;0.5;15;3;2;3;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q3;247;202007;202007;202007;44013;44043;1.0;0.0;0.0;31;2020-07-01;2020-07-31;"A1";"NewYork"             ;"A";1.0;1.0;1.0;31;0.5;0.5;0.5;15.5;4;3;4;29;29;29;1;0;0;0;0;;F;stEOM
2020;2020_Q3;248;202008;202008;202008;44044;44067;0.0;0.0;0.0;31;2020-08-01;2020-08-24;"A1";"NewYork"             ;"A";1.0;0.0;0.0;24;0.5;0.0;0.0;12;5;0;0;30;0;0;0;0;0;0;0;;F;termclose-1@2020-08-25 HC
2020;2020_Q3;248;202008;202008;202008;44069;44068;0.0;0.0;0.0;31;2020-08-26;2020-08-25;"A1";"NewYork"             ;"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stopAfterm@2020-08-25 HC
2020;2020_Q3;248;202008;202008;202008;44068;44074;1.0;0.0;0.0;31;2020-08-25;2020-08-31;"A1";"Frankfurt"           ;"A";0.0;1.0;0.0;0;0.0;0.5;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stEOM
2020;2020_Q4;252;202012;202012;202012;44170;44196;1.0;1.0;1.0;31;2020-12-05;2020-12-31;"A1";"Frankfurt"           ;"A";1.0;0.0;1.0;27;1.0;0.0;1.0;13.5;0;0;0;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q1;253;202101;202101;202101;44197;44227;1.0;0.0;0.0;31;2021-01-01;2021-01-31;"A1";"Frankfurt"           ;"A";1.0;1.0;1.0;31;1.0;1.0;1.0;31;1;0;1;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q1;254;202102;202102;202102;44228;44255;0.0;0.0;0.0;28;2021-02-01;2021-02-09;"A1";"Frankfurt"           ;"A";1.0;1.0;1.0;10;1.0;1.0;1.0;10;2;1;2;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q1;254;202102;202102;202102;44228;44255;0.0;0.0;0.0;28;2021-02-11;2021-02-10;"A1";"Frankfurt"           ;"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stop Frankfurt
2021;2021_Q1;254;202102;202102;202102;44228;44255;0.0;0.0;0.0;28;2021-02-10;2021-02-15;"A1";"LA"                 ;"A";1.0;1.0;1.0;6;1.0;1.0;1.0;6;2;1;2;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q1;254;202102;202102;202102;44228;44255;0.0;0.0;0.0;28;2021-02-11;2021-02-16;"A1";"LA"                 ;"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stop LA
2021;2021_Q1;254;202102;202102;202102;44228;44255;1.0;0.0;0.0;28;2021-02-16;2021-02-28;"A1";"Frankfurt"           ;"A";1.0;1.0;1.0;12;1.0;1.0;1.0;13;2;1;2;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q1;255;202103;202103;202103;44256;44286;1.0;1.0;0.0;31;2021-03-01;2021-03-31;"A1";"Frankfurt"           ;"A";1.0;1.0;1.0;31;1.0;1.0;1.0;31;3;2;3;30;30;30;1;0;0;0;0;;F;stEOM
2021;2021_Q2;256;202104;202104;202104;44287;44290;0.0;0.0;0.0;30;2021-04-01;2021-04-04;"A1";"Frankfurt"           ;"A";1.0;0.0;0.0;4;1.0;0.0;0.0;4;3;0;0;30;0;0;0;0;0;0;0;;F;termclose-1@2021-04-05 HC
2021;2021_Q2;256;202104;202104;202104;44292;44291;0.0;0.0;0.0;30;2021-04-06;2021-04-05;"A1";"Frankfurt"           ;"A";0.0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stopAfterm@2021-04-05 HC
2021;2021_Q2;256;202104;202104;202104;44291;44316;1.0;0.0;0.0;30;2021-04-05;2021-04-30;"A1";"Frankfurt"           ;"A";0.0;1.0;0.0;0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;F;stEOM
2022;2022_Q1;265;202201;202201;202201;44587;44592;1.0;0.0;0.0;31;2022-01-26;2022-01-31;"A1";"Frankfurt"           ;"U";1.0;0.0;1.0;6;0.5;0.0;0.5;3;0;0;0;31;31;31;1;0;0;0;0;;F;stEOM
2022;2022_Q1;266;202202;202202;202202;44593;44618;0.0;0.0;0.0;28;2022-02-01;2022-02-26;"A1";"Frankfurt"           ;"U";1.0;0.0;0.0;26;0.5;0.0;0.0;13;1;0;0;31;0;0;0;0;0;0;0;TER;F;termclose-1@2022-02-27 HC
