YEAR;QUART;CALMONTHIC;CALMONTHI;CALMONTH;CALMONTHS;START_DATE_IDX;END_DATE_IDX;ISEOM;ISEOQ;ISEOY;DAYSINMONTH;START_DATE;END_DATE;USER;LOCATION;ESTAT;HC;HC_SOM;HC_EOM;DAYSWORKED;FTE;FTE_SOM;FTE_EOM;FTEWORKED;TENURE;TENURE_SOM;TENURE_EOM;AGE;AGE_SOM;AGE_EOM;HC_EOMS;HIRE;TERM;MOVE_OUT;MOVE_IN;EVRS;GNDR;X
2020;2020_Q2;245;202005;202005;202005;43895;43952;0.0;0.0;0.0;31;2020-03-05;2020-05-01;"P00001";"Chicago"             ;"A";1.0;0.0;0.0;27;1.0;0.0;0.0;  27; 1; 0; 0;29; 0; 0;0;0;0;0;0;;  "F";perclose-1 from 2020-05-02 LC
2020;2020_Q3;248;202008;202008;202008;43953;44067;0.0;0.0;0.0;31;2020-05-02;2020-08-24;"P00001";"NewYork"             ;"A";1.0;0.0;0.0;23;0.5;0.0;0.0;11.5; 5; 0; 0;30; 0; 0;0;0;1;0;0;TR8;"F";termclose-12020-08-25 HC
2021;2021_Q2;256;202104;202104;202104;44170;44290;0.0;0.0;0.0;30;2020-12-05;2021-04-04;"P00001";"Frankfurt"           ;"A";1.0;0.0;0.0;31;1.0;0.0;0.0;  31; 3; 0; 0;30; 0; 0;0;0;1;0;0;TR9;"F";termclose-12021-04-05 HC
2022;2022_Q1;266;202202;202202;202202;44587;44618;0.0;0.0;0.0;28;2022-01-26;2022-02-26;"P00001";"Frankfurt"           ;"U";1.0;0.0;0.0; 1;0.5;0.0;0.0; 0.5; 1; 0; 0;31; 0; 0;0;0;1;0;0;TR0;"F";termclose-12022-02-27 HC
2022;2022_Q4;275;202211;202211;202211;44758;44891;0.0;0.0;0.0;30;2022-07-16;2022-11-26;"P00001";"Bangalore"           ;"U";1.0;0.0;0.0;11;0.5;0.0;0.0; 5.5; 4; 0; 0;32; 0; 0;0;0;1;0;0;TR9;"F";termclose-12022-11-27 HC
2023;2023_Q2;281;202305;202305;202305;44998;45067;0.0;0.0;0.0;31;2023-03-13;2023-05-21;"P00001";"LA"                  ;"U";1.0;0.0;0.0; 9;0.5;0.0;0.0; 4.5; 2; 0; 0;32; 0; 0;0;0;0;0;0;;  "F";perclose-1 from 2023-05-22 LC
2023;2023_Q4;286;202310;202310;202310;45068;45216;0.0;0.0;0.0;31;2023-05-22;2023-10-17;"P00001";"LA"                  ;"U";1.0;0.0;0.0;26;1.0;0.0;0.0;  26; 7; 0; 0;33; 0; 0;0;0;0;0;0;;  "F";perclose-1 from 2023-10-18 LC
2024;2024_Q1;290;202402;202402;202402;45217;45347;0.0;0.0;0.0;29;2023-10-18;2024-02-25;"P00001";"LA"                  ;"U";1.0;0.0;0.0; 8;1.0;0.0;0.0;   8;11; 0; 0;33; 0; 0;0;0;1;0;0;TR7;"F";termclose-12024-02-26 HC
2020;2020_Q3;247;202007;202007;202007;43951;44024;0.0;0.0;0.0;31;2020-04-30;2020-07-12;"P00002";"Bangalore"           ;"A";1.0;0.0;0.0;13;1.0;0.0;0.0;  13; 2; 0; 0;40; 0; 0;0;0;1;0;0;TR7;"M";termclose-12020-07-13 HC
2021;2021_Q1;255;202103;202103;202103;44193;44256;0.0;0.0;0.0;31;2020-12-28;2021-03-01;"P00002";"NewYork"             ;"S";1.0;0.0;0.0; 2;1.0;0.0;0.0;   2; 2; 0; 0;40; 0; 0;0;0;1;0;0;TR3;"M";termclose-12021-03-02 HC
2021;2021_Q3;259;202107;202107;202107;44369;44401;0.0;0.0;0.0;31;2021-06-22;2021-07-24;"P00002";"LA"                  ;"S";1.0;0.0;0.0; 3;0.5;0.0;0.0; 1.5; 1; 0; 0;41; 0; 0;0;0;1;0;0;TR7;"M";termclose-12021-07-25 HC
